subid	maindown	area	latitude	longitude	elev_mean	slope_mean	rivlen	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22
71028865	71028847	29722185.581796497	52.26520515323629	-114.59439385871498	1817.56420898438	0.002226004217	2555.830094256831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1954828709694324	0.0	0.2205192643844241	0.5839978646461433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028893	71028835	42610770.088480465	52.264650344599914	-114.04753662663538	1081.08898925781	0.001734748394	6849.441557736694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09158290980287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90841709019713	0.0	0.0	0.0
71028974	71028957	93331417.50026856	51.27375469354751	-115.7018512313946	1885.56188964844	0.004734730921	1580.2618176291362	0.0	0.0	0.0729338902177346	0.0	0.0	0.0	0.0	0.0	0.0	0.1109271663270924	0.8161389434551729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71035238	71028304	2572011.4897842403	51.653669438669446	-115.3342515592516	1913.24890136719	0.004814601495	8712.122589970293	0.0	0.0	0.2599267324030245	0.0	0.0	0.0	0.0	0.062616494984601	0.0	0.1078412316567925	0.5696155409555819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71035362	71035166	120125616.92984608	51.194884720286446	-115.75492915374124	1570.43249511719	0.005396176704	21925.54487519113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4927505930311084	0.0	0.1682115953225487	0.3390378116463428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71022992	71022945	34128983.835376054	51.806771158650825	-114.95489004268148	953.809143066406	0.000358359565	5013.1689730809385	0.0	0.0	0.0	0.0	0.0600960514689317	0.0	0.0	0.1006065027304521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0596176964097181	0.779679749390898	0.0	0.0	0.0
71028835	71028795	92438247.52953528	51.308019825543006	-114.62780219139755	1057.419921875	0.001651066977	4837.687810690928	0.0	0.0	0.0	0.0	0.0629747604268952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9370252395731048	0.0	0.0	0.0
71028727	71028494	123101210.78710958	51.337355303825625	-115.87135055837435	1118.90185546875	0.003443604894	23155.65077626903	0.0	0.0	0.0	0.0	0.0554994177535105	0.0	0.0	0.2827050364888511	0.0	0.0	0.1108950423323825	0.0	0.0	0.0	0.0	0.0	0.0	0.056259987561024	0.4946405158642317	0.0	0.0	0.0
71023020	71022780	67598948.87967789	52.78582947679653	-114.68901426918617	956.506652832031	0.00027387935	17491.978423261196	0.0	0.0	0.0	0.0	0.0767267729946404	0.0	0.0	0.0944037026994085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.828869524305951	0.0	0.0	0.0
71028957	71028904	86224860.36010495	50.32237484581696	-114.34014929182102	1798.77172851562	0.002881811719	4954.076400411348	0.0	0.0	0.0672439490423901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93275605095761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028304	71028249	65100839.96473467	51.46184022049939	-116.01221626525908	1623.84289550781	0.005959265911	10958.212928921317	0.0	0.0	0.1223523982302706	0.0	0.0	0.0	0.0666412836048709	0.1320698413582341	0.0	0.107699989129164	0.5712364876774602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028833	71028757	47141563.44260731	51.35978472222231	-115.0901233828006	1381.46923828125	0.005519200725	8644.083407839558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3484940898688679	0.0	0.1309827751307271	0.520523135000405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71022945	71022911	113581368.88491128	51.85043719433121	-114.51507359489992	940.338256835938	0.000566381009	5288.109703645012	0.0	0.0	0.0	0.0	0.0855274114031848	0.0	0.0	0.1301325708669482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0891499667379909	0.6951900509918759	0.0	0.0	0.0
71028722	71028580	33221597.52064278	52.29837617687496	-114.14183645403551	1102.31909179688	0.001769028512	38093.20167780246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2167061381846375	0.0	0.0	0.0819900943421104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.701303767473252	0.0	0.0	0.0
71028757	71027992	37195648.73608464	51.361018397955235	-115.19481445312482	1268.83703613281	0.004311326962	6252.6458393948915	0.0	0.0	0.0	0.0	0.0	0.0	0.0892626236035573	0.4044084838898212	0.0	0.3547235941743674	0.1516052983322539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028249	71028039	61204584.8841065	51.48050483790817	-115.54408094361135	1388.85290527344	0.00523071085	10421.352473178373	0.0	0.0	0.0	0.0	0.0813021959237967	0.0	0.0	0.2142146603421934	0.0	0.1351331017463724	0.5693500419876374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028795	71028675	77892034.18328576	52.29292845539462	-114.41194181219255	1059.26416015625	0.000825432067	21771.268665903433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0936193060808231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9063806939191767	0.0	0.0	0.0
71028847	71028699	25188188.32137305	51.344427406140966	-115.45622212723522	1775.72058105469	0.003755652074	22458.15815153213	0.0	0.0	0.1461897893809021	0.0	0.0	0.0	0.0	0.0636373665015063	0.0	0.1529328815284941	0.6372399625890973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028904	71028852	34137338.5788484	50.33395762848395	-114.72312859137523	1826.9384765625	0.002677796869	4548.938407763738	0.0	0.0	0.0980524085116447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9019475914883552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71035166	71035129	12535722.47848998	51.231533936002265	-115.83923518438783	1377.61401367188	0.006547841255	8022.9479469851785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7010021001617959	0.0	0.2002150615275104	0.0987828383106938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028699	71028685	36785284.68146083	51.35597110460861	-114.83114642770062	1518.42224121094	0.006532413911	2229.791511424053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71022911	71022780	43979909.7611791	50.80445063562826	-115.49781131335642	960.065185546875	0.000512581054	22008.495427607864	0.0	0.0	0.0	0.0	0.0702054409187398	0.0	0.0	0.10018144750041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8296131115808502	0.0	0.0	0.0
71028675	71028580	36118442.181256294	51.362215310885986	-115.76108350715124	1048.29296875	0.000684627869	10646.833658144446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0695159846546244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9304840153453756	0.0	0.0	0.0
71035129	71035105	118162262.00784232	51.76131425884122	-114.49557934537232	1337.25561523438	0.006185529042	5632.807266727638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6641924826572175	0.0	0.2320201860460497	0.1037873312967327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028852	71028740	106400452.69887474	51.37691073866236	-114.42953949475054	1858.00366210938	0.003577794898	15651.534969163118	0.0	0.0	0.186969957574196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8130300424258039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71035105	71035044	59213231.52811393	50.531798939351866	-114.29839415101902	1303.45715332031	0.005197315932	13925.37285682226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6236394050914439	0.0	0.3763605949085561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71035044	71035002	82132230.07835798	51.93518796505989	-114.68571266041188	1221.57568359375	0.004077974578	10524.052049162736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2574278626362377	0.0	0.4880722760140168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2544998613497454	0.0	0.0	0.0
71028740	71028700	34042381.08499213	51.375389933628455	-115.5256069584914	1918.70886230469	0.001970293108	7445.7819946547625	0.0	0.0	0.1879095013896007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8120904986103993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028700	71028676	26308773.81733653	50.36831696957032	-114.27573045052551	1655.12658691406	0.001781119298	4202.0465764791425	0.0	0.0	0.0888746035845759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.911125396415424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028685	71028663	345500803.4534431	51.435961427816295	-114.52897793949961	1520.55676269531	0.00571588655	5132.430916627718	0.0	0.0	0.0	0.0	0.0985121406573047	0.0	0.0	0.0755301316941585	0.0	0.2626387849752705	0.5633189426732661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
